,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
9358,LATAM,Chile,CLP,2019-01-15,0.0,11542156.291471153,12627695.484761074
9359,LATAM,Chile,CLP,2019-01-16,0.0,17851965.286067322,19104429.04905614
9360,LATAM,Chile,CLP,2019-01-17,0.0,14830410.359745085,16189029.163236283
9361,LATAM,Chile,CLP,2019-01-18,0.0,16976839.7568302,19587359.601457648
9362,LATAM,Chile,CLP,2019-01-19,0.0,22668270.60602389,22544210.376496125
9363,LATAM,Chile,CLP,2019-01-20,0.0,16781300.55938423,18688776.989641864
9364,LATAM,Chile,CLP,2019-01-21,0.0,12593236.525332617,12508611.134291839
9365,LATAM,Chile,CLP,2019-01-22,0.0,14350563.700330872,14446425.804900076
9366,LATAM,Chile,CLP,2019-01-23,0.0,10317057.647863865,11825333.878853533
9367,LATAM,Chile,CLP,2019-01-24,0.0,12588473.328549076,14852263.463499894
9368,LATAM,Chile,CLP,2019-01-25,0.0,18941758.124856964,20844803.67438572
9369,LATAM,Chile,CLP,2019-01-26,0.0,18903001.211121496,21620429.34597523
9370,LATAM,Chile,CLP,2019-01-27,0.0,17916585.25061723,19383858.11134189
9371,LATAM,Chile,CLP,2019-01-28,0.0,11714158.650485339,11844045.48817157
9372,LATAM,Chile,CLP,2019-01-29,0.0,12727035.830702445,13841832.129445126
9373,LATAM,Chile,CLP,2019-01-30,0.0,18588900.5071323,21881053.750447642
9374,LATAM,Chile,CLP,2019-01-31,0.0,11969000.755606566,16277075.19419975
9375,LATAM,Chile,CLP,2019-02-01,0.0,17620757.498753913,20461377.41051255
9376,LATAM,Chile,CLP,2019-02-02,0.0,23240093.487608083,28752295.21131879
9377,LATAM,Chile,CLP,2019-02-03,0.0,19976984.667470515,22080536.431742307
9378,LATAM,Chile,CLP,2019-02-04,0.0,15933868.034702577,17358834.846227944
9379,LATAM,Chile,CLP,2019-02-05,0.0,15312592.093303414,15991571.394434711
9380,LATAM,Chile,CLP,2019-02-06,0.0,13106292.635809744,13731489.906653961
9381,LATAM,Chile,CLP,2019-02-07,0.0,14772423.423646301,14963837.471133688
9382,LATAM,Chile,CLP,2019-02-08,0.0,17831193.317210358,17848850.376914922
9383,LATAM,Chile,CLP,2019-02-09,0.0,17526539.25093512,19184065.268396202
9384,LATAM,Chile,CLP,2019-02-10,0.0,18714622.31693339,20132987.11617273
9385,LATAM,Chile,CLP,2019-02-11,0.0,11193414.961943613,13064575.89374739
9386,LATAM,Chile,CLP,2019-02-12,0.0,11041772.499878606,11353258.984237768
9387,LATAM,Chile,CLP,2019-02-13,0.0,16961375.983086426,16863896.607051183
9388,LATAM,Chile,CLP,2019-02-14,0.0,18342756.220881853,18310849.448753227
9389,LATAM,Chile,CLP,2019-02-15,0.0,14971728.869711813,16405991.669006359
9390,LATAM,Chile,CLP,2019-02-16,0.0,15724167.742447125,17585802.28068382
9391,LATAM,Chile,CLP,2019-02-17,0.0,13549097.132330563,15062685.989314152
